",	1110756	885091468	0.081015	64.555908
ig	1110608	886202076	0.081004	64.636912
LI	1109500	887311576	0.080924	64.717836
bl	1106455	888418031	0.080701	64.798537
B_	1106165	889524196	0.080680	64.879217
 1	1100644	890624840	0.080278	64.959495
_e	1090316	891715156	0.079524	65.039019
 S	1089243	892804399	0.079446	65.118465
PE	1082974	893887373	0.078989	65.197454
ue	1075777	894963150	0.078464	65.275918
x1	1071408	896034558	0.078145	65.354064
RO	1067223	897101781	0.077840	65.431904
rr	1056556	898158337	0.077062	65.508966
AD	1051549	899209886	0.076697	65.585662
\x09}	1049272	900259158	0.076531	65.662193
ET	1047688	901306846	0.076415	65.738608
l 	1038617	902345463	0.075754	65.814362
_b	1037602	903383065	0.075680	65.890042
US	1037243	904420308	0.075653	65.965695
\x0A}	1032299	905452607	0.075293	66.040988
 n	1027723	906480330	0.074959	66.115947
om	1024433	907504763	0.074719	66.190666
ap	1023817	908528580	0.074674	66.265340
_l	1021070	909549650	0.074474	66.339814
--	1021049	910570699	0.074472	66.414286
 B	1020906	911591605	0.074462	66.488748
CS	1008389	912599994	0.073549	66.562297
32	1008209	913608203	0.073536	66.635832
RT	1006338	914614541	0.073399	66.709232
CN	995429	915609970	0.072604	66.781835
l_	983529	916593499	0.071736	66.853571
PI	983158	917576657	0.071709	66.925279
no	972605	918549262	0.070939	66.996218
ME	972280	919521542	0.070915	67.067133
op	972212	920493754	0.070910	67.138044
O_	971072	921464826	0.070827	67.208871
CL	968010	922432836	0.070604	67.279475
EG	967591	923400427	0.070573	67.350048
IT	962892	924363319	0.070230	67.420278
ex	962826	925326145	0.070226	67.490504
_H	959091	926285236	0.069953	67.560457
TI	958645	927243881	0.069921	67.630378
k_	957305	928201186	0.069823	67.700201
ot	956624	929157810	0.069773	67.769974
VE	955529	930113339	0.069693	67.839667
\x0As	954424	931067763	0.069613	67.909280
 u	952646	932020409	0.069483	67.978763
CI	949534	932969943	0.069256	68.048019
na	949051	933918994	0.069221	68.117240
MP	947708	934866702	0.069123	68.186363
bu	947170	935813872	0.069084	68.255447
g 	946978	936760850	0.069070	68.324517
SI	942360	937703210	0.068733	68.393250
AC	934039	938637249	0.068126	68.461376
AP	931511	939568760	0.067942	68.529317
sc	925951	940494711	0.067536	68.596853
RR	924873	941419584	0.067457	68.664311
 <	923581	942343165	0.067363	68.731674
EC	922887	943266052	0.067313	68.798987
 v	922334	944188386	0.067272	68.866259
sp	919704	945108090	0.067080	68.933339
 l	918998	946027088	0.067029	69.000368
I_	918532	946945620	0.066995	69.067363
0L	916573	947862193	0.066852	69.134215
ss	914131	948776324	0.066674	69.200889
em	913831	949690155	0.066652	69.267541
\x0A/	910381	950600536	0.066400	69.333942
pt	904997	951505533	0.066008	69.399950
SS	904324	952409857	0.065959	69.465908
\x09/	904286	953314143	0.065956	69.531864
il	903873	954218016	0.065926	69.597790
vi	897415	955115431	0.065455	69.663245
pi	894635	956010066	0.065252	69.728497
ED	890827	956900893	0.064974	69.793471
iv	889910	957790803	0.064907	69.858378
ts	886785	958677588	0.064679	69.923058
ag	886401	959563989	0.064651	69.987709
 w	886182	960450171	0.064635	70.052344
CA	885199	961335370	0.064564	70.116908
ol	884318	962219688	0.064499	70.181408
DA	883400	963103088	0.064433	70.245840
SY	882920	963986008	0.064398	70.310238
\x09.	870172	964856180	0.063468	70.373706
x_	868331	965724511	0.063333	70.437039
va	867721	966592232	0.063289	70.500328
 -	865881	967458113	0.063155	70.563483
 M	863302	968321415	0.062967	70.626449
20	862481	969183896	0.062907	70.689356
mp	859536	970043432	0.062692	70.752048
nf	857004	970900436	0.062507	70.814555
lu	855748	971756184	0.062416	70.876971
LL	854976	972611160	0.062359	70.939330
F0	854340	973465500	0.062313	71.001643
CM	852306	974317806	0.062165	71.063808
01	850488	975168294	0.062032	71.125840
y 	850141	976018435	0.062007	71.187847
hi	848517	976866952	0.061888	71.249735
IC	844187	977711139	0.061572	71.311308
ND	842054	978553193	0.061417	71.372724
 A	840235	979393428	0.061284	71.434009
5_	833496	980226924	0.060793	71.494801
UT	832354	981059278	0.060709	71.555511
RI	832040	981891318	0.060686	71.616197
CF	828385	982719703	0.060420	71.676617
n_	823713	983543416	0.060079	71.736696
OU	821057	984364473	0.059885	71.796582
mm	820690	985185163	0.059859	71.856440
nu	819971	986005134	0.059806	71.916247
e(	819680	986824814	0.059785	71.976032
IE	817040	987641854	0.059592	72.035624
EL	813810	988455664	0.059357	72.094981
PH	812447	989268111	0.059257	72.154238
ab	809660	990077771	0.059054	72.213292
mo	808932	990886703	0.059001	72.272294
LO	808463	991695166	0.058967	72.331260
UN	806831	992501997	0.058848	72.390108
SC	798410	993300407	0.058234	72.448342
DC	797720	994098127	0.058183	72.506525
PA	794037	994892164	0.057915	72.564440
RX	791698	995683862	0.057744	72.622184
o_	790017	996473879	0.057621	72.679805
pu	789456	997263335	0.057581	72.737386
MI	789033	998052368	0.057550	72.794936
),	787250	998839618	0.057420	72.852355
mi	785053	999624671	0.057259	72.909615
up	784937	1000409608	0.057251	72.966866
FG	784705	1001194313	0.057234	73.024100
\x09c	779989	1001974302	0.056890	73.080990
\x09u	778393	1002752695	0.056774	73.137763
))	778366	1003531061	0.056772	73.194535
CC	778123	1004309184	0.056754	73.251289
sk	775369	1005084553	0.056553	73.307842
PL	774597	1005859150	0.056497	73.364339
ni	767898	1006627048	0.056008	73.420347
 P	766216	1007393264	0.055885	73.476232
OL	765940	1008159204	0.055865	73.532098
ip	765138	1008924342	0.055807	73.587905
ze	764867	1009689209	0.055787	73.643692
dd	761719	1010450928	0.055557	73.699249
},	759610	1011210538	0.055404	73.754653
IS	758683	1011969221	0.055336	73.809989
ir	757784	1012727005	0.055270	73.865259
um	757644	1013484649	0.055260	73.920520
EP	755421	1014240070	0.055098	73.975618
iz	749479	1014989549	0.054665	74.030283
BA	747860	1015737409	0.054547	74.084829
UL	747332	1016484741	0.054508	74.139337
ee	744082	1017228823	0.054271	74.193608
RD	734760	1017963583	0.053591	74.247200
_U	733991	1018697574	0.053535	74.300735
a_	732950	1019430524	0.053459	74.354194
 R	731873	1020162397	0.053381	74.407575
ie	727247	1020889644	0.053043	74.460618
pl	726130	1021615774	0.052962	74.513579
e,	725634	1022341408	0.052926	74.566505
\x0A{	725463	1023066871	0.052913	74.619418
SP	722498	1023789369	0.052697	74.672115
oi	717772	1024507141	0.052352	74.724467
UP	717660	1025224801	0.052344	74.776811
im	715320	1025940121	0.052173	74.828984
i_	713335	1026653456	0.052029	74.881013
PO	712878	1027366334	0.051995	74.933008
 I	710533	1028076867	0.051824	74.984832
PF	710154	1028787021	0.051796	75.036629
TU	709843	1029496864	0.051774	75.088402
NC	708074	1030204938	0.051645	75.140047
TX	706924	1030911862	0.051561	75.191608
DR	704858	1031616720	0.051410	75.243018
_N	703150	1032319870	0.051286	75.294304
\x090	700463	1033020333	0.051090	75.345394
NA	695149	1033715482	0.050702	75.396096
ai	691759	1034407241	0.050455	75.446551
OD	691727	1035098968	0.050452	75.497003
CE	688596	1035787564	0.050224	75.547227
be	685605	1036473169	0.050006	75.597233
ul	685555	1037158724	0.050002	75.647235
PT	685091	1037843815	0.049968	75.697204
RC	684019	1038527834	0.049890	75.747094
rs	682371	1039210205	0.049770	75.796864
GE	682199	1039892404	0.049758	75.846622
BL	681959	1040574363	0.049740	75.896362
_o	676173	1041250536	0.049318	75.945680
g_	674630	1041925166	0.049205	75.994885
e)	671427	1042596593	0.048972	76.043857
DM	662792	1043259385	0.048342	76.092199
fs	661757	1043921142	0.048267	76.140466
*\x0A	661501	1044582643	0.048248	76.188714
HY	659112	1045241755	0.048074	76.236787
EX	658649	1045900404	0.048040	76.284827
rc	657067	1046557471	0.047924	76.332752
_h	654694	1047212165	0.047751	76.380503
vo	652118	1047864283	0.047564	76.428067
FI	650915	1048515198	0.047476	76.475542
a 	650509	1049165707	0.047446	76.522989
su	647564	1049813271	0.047231	76.570220
 h	646693	1050459964	0.047168	76.617388
CH	645614	1051105578	0.047089	76.664477
t)	644998	1051750576	0.047044	76.711521
so	640570	1052391146	0.046721	76.758242
fr	638850	1053029996	0.046596	76.804838
_n	637401	1053667397	0.046490	76.851328
_g	634990	1054302387	0.046314	76.897643
PR	634599	1054936986	0.046286	76.943928
EA	633552	1055570538	0.046209	76.990138
_u	630246	1056200784	0.045968	77.036106
ty	628073	1056828857	0.045810	77.081916
_0	627793	1057456650	0.045789	77.127705
ke	625249	1058081899	0.045604	77.173309
gs	622560	1058704459	0.045408	77.218717
0)	621287	1059325746	0.045315	77.264031
 T	618351	1059944097	0.045101	77.309132
ls	617375	1060561472	0.045029	77.354161
2 	616805	1061178277	0.044988	77.399149
t(	613283	1061791560	0.044731	77.443880
AB	613199	1062404759	0.044725	77.488605
cp	611776	1063016535	0.044621	77.533226
_W	603785	1063620320	0.044038	77.577265
ba	602069	1064222389	0.043913	77.621178
02	600911	1064823300	0.043829	77.665006
MO	597577	1065420877	0.043585	77.708592
eq	596868	1066017745	0.043534	77.752126
:\x0A	591958	1066609703	0.043176	77.795301
rm	590117	1067199820	0.043041	77.838343
NG	585010	1067784830	0.042669	77.881011
cr	582568	1068367398	0.042491	77.923502
.\x0A	581328	1068948726	0.042400	77.965903
 |	580040	1069528766	0.042306	78.008209
fa	579095	1070107861	0.042237	78.050446
YS	578963	1070686824	0.042228	78.092674
80	578723	1071265547	0.042210	78.134884
f_	578108	1071843655	0.042165	78.177050
uf	572091	1072415746	0.041727	78.218777
FL	570757	1072986503	0.041629	78.260406
wi	570596	1073557099	0.041618	78.302023
H_	569300	1074126399	0.041523	78.343546
bi	568105	1074694504	0.041436	78.384982
RL	567958	1075262462	0.041425	78.426407
tc	567022	1075829484	0.041357	78.467764
 2	566465	1076395949	0.041316	78.509081
fl	561480	1076957429	0.040953	78.550033
lk	561415	1077518844	0.040948	78.590981
0;	561327	1078080171	0.040942	78.631923
16	559577	1078639748	0.040814	78.672736
12	559408	1079199156	0.040802	78.713538
MC	557560	1079756716	0.040667	78.754205
(&	557137	1080313853	0.040636	78.794841
V0	556506	1080870359	0.040590	78.835431
ud	556270	1081426629	0.040573	78.876003
v_	555293	1081981922	0.040501	78.916505
h 	555098	1082537020	0.040487	78.956992
_w	554480	1083091500	0.040442	78.997434
sh	551530	1083643030	0.040227	79.037661
OT	550838	1084193868	0.040176	79.077837
_v	550676	1084744544	0.040165	79.118002
gn	548733	1085293277	0.040023	79.158025
//	546419	1085839696	0.039854	79.197879
ow	545880	1086385576	0.039815	79.237694
ry	545143	1086930719	0.039761	79.277455
6_	544204	1087474923	0.039693	79.317148
k 	541175	1088016098	0.039472	79.356619
ms	537870	1088553968	0.039231	79.395850
v,	536966	1089090934	0.039165	79.435015
11	536236	1089627170	0.039111	79.474126
OV	534141	1090161311	0.038959	79.513085
1,	533536	1090694847	0.038915	79.551999
qu	533458	1091228305	0.038909	79.590908
t,	533337	1091761642	0.038900	79.629808
 N	531380	1092293022	0.038757	79.668565
m 	531009	1092824031	0.038730	79.707295
(c	529694	1093353725	0.038634	79.745930
AU	528154	1093881879	0.038522	79.784452
Q_	526290	1094408169	0.038386	79.822838
EM	524112	1094932281	0.038227	79.861065
fe	521977	1095454258	0.038071	79.899136
\x09{	521919	1095976177	0.038067	79.937203
ps	520721	1096496898	0.037980	79.975183
0 	520072	1097016970	0.037932	80.013116
_2	519720	1097536690	0.037907	80.051023
y_	516422	1098053112	0.037666	80.088689
v-	513766	1098566878	0.037473	80.126161
IP	512136	1099079014	0.037354	80.163515
] 	511050	1099590064	0.037274	80.200789
b_	510697	1100100761	0.037249	80.238038
OC	508531	1100609292	0.037091	80.275129
_X	506902	1101116194	0.036972	80.312101
NU	506278	1101622472	0.036926	80.349027
tx	503713	1102126185	0.036739	80.385766
tt	503023	1102629208	0.036689	80.422455
yp	501497	1103130705	0.036578	80.459033
.h	500876	1103631581	0.036532	80.495566
40	498818	1104130399	0.036382	80.531948
MS	498599	1104628998	0.036366	80.568314
==	497240	1105126238	0.036267	80.604581
TO	496487	1105622725	0.036212	80.640794
RF	495935	1106118660	0.036172	80.676966
p 	494946	1106613606	0.036100	80.713065
os	494362	1107107968	0.036057	80.749123
t;	493993	1107601961	0.036030	80.785153
ci	492800	1108094761	0.035943	80.821096
(r	491393	1108586154	0.035841	80.856937
LK	490217	1109076371	0.035755	80.892692
HA	489135	1109565506	0.035676	80.928368
w_	489045	1110054551	0.035669	80.964038
s)	488627	1110543178	0.035639	80.999677
\x09d	487916	1111031094	0.035587	81.035264
GA	485164	1111516258	0.035386	81.070650
e;	484120	1112000378	0.035310	81.105960
oo	481977	1112482355	0.035154	81.141114
sa	478074	1112960429	0.034869	81.175984
#i	477969	1113438398	0.034862	81.210845
AG	477247	1113915645	0.034809	81.245654
< 	477072	1114392717	0.034796	81.280450
rd	476856	1114869573	0.034780	81.315231
n"	476222	1115345795	0.034734	81.349965
mu	475624	1115821419	0.034691	81.384656
(p	473350	1116294769	0.034525	81.419180
pc	472522	1116767291	0.034464	81.453645
DD	472367	1117239658	0.034453	81.488098
 +	471905	1117711563	0.034419	81.522517
(d	471814	1118183377	0.034413	81.556930
SU	470964	1118654341	0.034351	81.591280
>d	466743	1119121084	0.034043	81.625323
nl	466547	1119587631	0.034029	81.659352
 _	464668	1120052299	0.033891	81.693243
TC	464106	1120516405	0.033850	81.727094
CP	463738	1120980143	0.033824	81.760917
ep	461938	1121442081	0.033692	81.794610
WR	461516	1121903597	0.033662	81.828271
BU	460701	1122364298	0.033602	81.861874
IM	459561	1122823859	0.033519	81.895393
OM	459315	1123283174	0.033501	81.928894
GP	458227	1123741401	0.033422	81.962315
- 	455759	1124197160	0.033242	81.995557
gi	455692	1124652852	0.033237	82.028794
15	455161	1125108013	0.033198	82.061992
EQ	452981	1125560994	0.033039	82.095031
lt	450846	1126011840	0.032883	82.127914
e\x0A	450510	1126462350	0.032859	82.160773
03	450421	1126912771	0.032852	82.193625
cm	450223	1127362994	0.032838	82.226463
wa	449322	1127812316	0.032772	82.259236
CK	449216	1128261532	0.032764	82.292000
wr	449141	1128710673	0.032759	82.324759
FS	448427	1129159100	0.032707	82.357466
