SC	1747149	932069855	0.127436	67.984789
DP	1734894	933804749	0.126542	68.111332
 O	1715100	935519849	0.125099	68.236430
/*	1706697	937226546	0.124486	68.360916
*/	1706578	938933124	0.124477	68.485393
NA	1705279	940638403	0.124382	68.609776
/\x0A	1693722	942332125	0.123539	68.733315
RN	1687898	944020023	0.123115	68.856430
Y_	1672268	945692291	0.121975	68.978404
EX	1671913	947364204	0.121949	69.100353
SP	1666398	949030602	0.121546	69.221899
OL	1652863	950683465	0.120559	69.342458
I_	1631794	952315259	0.119022	69.461481
L\x0A	1630967	953946226	0.118962	69.580443
OF	1618109	955564335	0.118024	69.698467
MI	1618064	957182399	0.118021	69.816488
B_	1616799	958799198	0.117929	69.934417
_H	1613744	960412942	0.117706	70.052122
TL	1604441	962017383	0.117027	70.169150
PT	1595138	963612521	0.116349	70.285498
\x09S	1574094	965186615	0.114814	70.400312
 N	1558997	966745612	0.113713	70.514025
 {	1558789	968304401	0.113697	70.627722
IE	1552173	969856574	0.113215	70.740937
PL	1520350	971376924	0.110894	70.851831
UP	1515500	972892424	0.110540	70.962371
OT	1515379	974407803	0.110531	71.072902
}\x0A	1504410	975912213	0.109731	71.182633
OM	1485848	977398061	0.108377	71.291010
NO	1477024	978875085	0.107734	71.398743
O 	1469869	980344954	0.107212	71.505955
MO	1458166	981803120	0.106358	71.612313
EM	1447572	983250692	0.105585	71.717898
CI	1446184	984696876	0.105484	71.823382
BU	1439594	986136470	0.105003	71.928386
 E	1438323	987574793	0.104911	72.033297
UL	1434805	989009598	0.104654	72.137951
AB	1427018	990436616	0.104086	72.242037
0,	1411871	991848487	0.102981	72.345018
C 	1395959	993244446	0.101821	72.446839
(S	1392370	994636816	0.101559	72.548398
BA	1381591	996018407	0.100773	72.649170
CS	1378547	997396954	0.100551	72.749721
**	1377698	998774652	0.100489	72.850210
OP	1375841	1000150493	0.100353	72.950563
AG	1371493	1001521986	0.100036	73.050599
UE	1365442	1002887428	0.099595	73.150194
_U	1364184	1004251612	0.099503	73.249697
NU	1354780	1005606392	0.098817	73.348514
RC	1351839	1006958231	0.098603	73.447116
_N	1340491	1008298722	0.097775	73.544891
3_	1337449	1009636171	0.097553	73.642444
VA	1313120	1010949291	0.095778	73.738223
CM	1310795	1012260086	0.095609	73.833832
IP	1279393	1013539479	0.093318	73.927150
PU	1268739	1014808218	0.092541	74.019691
: 	1265810	1016074028	0.092328	74.112019
TS	1261511	1017335539	0.092014	74.204033
MM	1258992	1018594531	0.091830	74.295863
NF	1250779	1019845310	0.091231	74.387095
DD	1238979	1021084289	0.090371	74.477465
VI	1237319	1022321608	0.090250	74.567715
TX	1233461	1023555069	0.089968	74.657683
PH	1231252	1024786321	0.089807	74.747490
RD	1228462	1026014783	0.089604	74.837093
EP	1228002	1027242785	0.089570	74.926663
L 	1223453	1028466238	0.089238	75.015902
 V	1216389	1029682627	0.088723	75.104624
SY	1215696	1030898323	0.088672	75.193297
4_	1212894	1032111217	0.088468	75.281765
 U	1211010	1033322227	0.088331	75.370095
IM	1187139	1034509366	0.086589	75.456685
 L	1180372	1035689738	0.086096	75.542781
IL	1180336	1036870074	0.086093	75.628874
NI	1178597	1038048671	0.085966	75.714840
CN	1175882	1039224553	0.085768	75.800609
_W	1158211	1040382764	0.084479	75.885088
FL	1157992	1041540756	0.084463	75.969552
10	1153571	1042694327	0.084141	76.053692
CC	1153235	1043847562	0.084116	76.137809
0\x0A	1150652	1044998214	0.083928	76.221737
SU	1144907	1046143121	0.083509	76.305246
_1	1144165	1047287286	0.083455	76.388701
IR	1139375	1048426661	0.083106	76.471807
 W	1137949	1049564610	0.083002	76.554808
